month,file,total_rows,demand_eligible_rows,demand_excluded_rows,demand_eligible_pct
2025-04,Urban_Flow_Analytics_Taxi_Dataset_2025-04.csv,3970553,3970546,7,99.99982370213922
2025-05,Urban_Flow_Analytics_Taxi_Dataset_2025-05.csv,4591845,4591821,24,99.99947733427413
2025-06,Urban_Flow_Analytics_Taxi_Dataset_2025-06.csv,4322960,4322940,20,99.9995373540352
2025-07,Urban_Flow_Analytics_Taxi_Dataset_2025-07.csv,3898963,3898955,8,99.9997948172373
2025-08,Urban_Flow_Analytics_Taxi_Dataset_2025-08.csv,3574091,3574074,17,99.99952435458414
2025-09,Urban_Flow_Analytics_Taxi_Dataset_2025-09.csv,4251015,4251008,7,99.9998353334439
2025-10,Urban_Flow_Analytics_Taxi_Dataset_2025-10.csv,4428699,4428686,13,99.99970646006875
2025-11,Urban_Flow_Analytics_Taxi_Dataset_2025-11.csv,4181444,4181420,24,99.99942603559919
2025-12,Urban_Flow_Analytics_Taxi_Dataset_2025-12.csv,4305006,4304997,9,99.99979094105792
2026-01,Urban_Flow_Analytics_Taxi_Dataset_2026-01.csv,3724889,3724882,7,99.999812074937
2026-02,Urban_Flow_Analytics_Taxi_Dataset_2026-02.csv,3399866,3399850,16,99.99952939321726
2026-03,Urban_Flow_Analytics_Taxi_Dataset_2026-03.csv,3952451,3952432,19,99.99951928562808
