month,provider_code,total_rows,nonpositive_duration,nonpositive_duration_pct
2025-04,1,800747,666,0.08317233782955166
2025-04,2,3135417,99,0.0031574747473781
2025-04,6,545,160,29.357798165137616
2025-04,7,33844,33844,100.0
2025-05,1,889031,785,0.08829838329597056
2025-05,2,3639117,127,0.003489857567096634
2025-05,6,436,99,22.706422018348622
2025-05,7,63261,63261,100.0
2025-06,1,830851,715,0.08605634463941188
2025-06,2,3423020,59,0.001723624168132234
2025-06,6,1516,236,15.567282321899736
2025-06,7,67573,67573,100.0
2025-07,1,725095,563,0.07764499824160971
2025-07,2,3116106,63,0.0020217540738344587
2025-07,6,2324,0,0.0
2025-07,7,55438,55438,100.0
2025-08,1,656568,497,0.07569665289810043
2025-08,2,2867667,60,0.0020922931428230683
2025-08,6,2580,0,0.0
2025-08,7,47276,47276,100.0
2025-09,1,817547,548,0.06702978544352801
2025-09,2,3374033,48,0.0014226298320140912
2025-09,6,2852,0,0.0
2025-09,7,56583,56583,100.0
2025-10,1,877225,538,0.06132976146370657
2025-10,2,3480300,70,0.0020113208631439817
2025-10,6,3814,0,0.0
2025-10,7,67360,67360,100.0
2025-11,1,821333,896,0.10909095336483496
2025-11,2,3295835,1181,0.03583310450917598
2025-11,6,4233,0,0.0
2025-11,7,60043,60043,100.0
2025-12,1,825421,492,0.05960594654121957
2025-12,2,3417640,112,0.003277115202303344
2025-12,6,4529,1,0.022079929344226097
2025-12,7,57416,57416,100.0
2026-01,1,710425,323,0.04546574233733329
2026-01,2,2965742,42,0.0014161717371234585
2026-01,6,4017,0,0.0
2026-01,7,44705,44705,100.0
2026-02,1,637609,328,0.051442184787228534
2026-02,2,2716417,29,0.0010675827753986226
2026-02,6,5599,0,0.0
2026-02,7,40241,40241,100.0
2026-03,1,764424,290,0.037937061107448225
2026-03,2,3129775,45,0.0014378030369595258
2026-03,6,9456,2,0.021150592216582064
2026-03,7,48796,48796,100.0
